Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status,Metafield: custom.metal_type [single_line_text_field],Metafield: custom.metal_weight [single_line_text_field],Metafield: custom.diamond_weight [single_line_text_field],Metafield: custom.measurements [single_line_text_field],Metafield: custom.gemstones [single_line_text_field],Metafield: custom.era [single_line_text_field],Metafield: custom.condition [single_line_text_field]
cartier-art-deco-diamond-platinum-ring,Cartier Art Deco Diamond Platinum Ring,"<p>An authenticated Cartier estate ring with crisp Art Deco geometry, bright old European cut diamonds, and a platinum mounting selected for its collectible signature and refined condition.</p>",Cartier,,Rings,"antique-estate, new-arrival, rings, designer-jewelry, cartier, art-deco",TRUE,Title,Default Title,LM-CARTIER-ART-DECO-DIAMOND-PLATINUM-RING,,shopify,1,deny,manual,28500.00,TRUE,TRUE,Cartier Art Deco Diamond Platinum Ring | Laura Milman,Authenticated Cartier Art Deco diamond platinum estate ring curated by Laura Milman New York.,active,Platinum,7.8 g,Approx. 1.85 CTW,Size 6.25; face 14 mm,Old European cut diamonds,"Art Deco, c. 1930",Excellent pre-owned condition; signed and authenticated
van-cleef-arpels-vintage-alhambra-mother-of-pearl-necklace,Van Cleef & Arpels Vintage Alhambra Mother-of-Pearl Necklace,"<p>A signed Van Cleef & Arpels Vintage Alhambra necklace with luminous mother-of-pearl stations and 18K yellow gold beading, chosen for its graceful estate presence.</p>",Van Cleef & Arpels,,Necklaces,"antique-estate, bestseller, necklaces, designer-jewelry, van-cleef-arpels, bridal-gifts",TRUE,Title,Default Title,LM-VAN-CLEEF-ARPELS-VINTAGE-ALHAMBRA-MOTHER-OF-P,,shopify,1,deny,manual,16200.00,TRUE,TRUE,Van Cleef & Arpels Alhambra Mother-of-Pearl Necklace,Signed estate Van Cleef & Arpels Vintage Alhambra necklace in 18K yellow gold and mother-of-pearl.,active,18K Yellow Gold,18.4 g,None,16 in length,Mother-of-pearl,Contemporary estate,Excellent pre-owned condition; signed and authenticated
tiffany-co-schlumberger-diamond-x-earrings,Tiffany & Co. Schlumberger Diamond X Earrings,"<p>Estate Tiffany & Co. earrings from the Schlumberger design language, set with bright round diamonds in an elegant X motif for polished evening wear.</p>",Tiffany & Co.,,Earrings,"antique-estate, earrings, designer-jewelry, tiffany-co, bridal-gifts",TRUE,Title,Default Title,LM-TIFFANY-CO-SCHLUMBERGER-DIAMOND-X-EARRINGS,,shopify,1,deny,manual,11800.00,TRUE,TRUE,Tiffany & Co. Schlumberger Diamond X Earrings,Authenticated estate Tiffany & Co. Schlumberger diamond earrings curated by Laura Milman.,active,18K Yellow Gold and Platinum,10.2 g,Approx. 1.20 CTW,18 mm,Round brilliant diamonds,Late 20th century,Excellent pre-owned condition; signed and authenticated
david-webb-black-enamel-diamond-cuff-bracelet,David Webb Black Enamel Diamond Cuff Bracelet,"<p>A bold David Webb estate cuff with glossy black enamel, sculptural 18K gold, and diamond accents, curated for collectors who appreciate unmistakable design.</p>",David Webb,,Bracelets,"antique-estate, new-arrival, bracelets, designer-jewelry, david-webb, statement",TRUE,Title,Default Title,LM-DAVID-WEBB-BLACK-ENAMEL-DIAMOND-CUFF-BRACELET,,shopify,1,deny,manual,42500.00,TRUE,TRUE,David Webb Black Enamel Diamond Cuff Bracelet,"Signed David Webb estate cuff bracelet with black enamel, diamonds, and 18K gold.",active,18K Yellow Gold and Platinum,86.5 g,Approx. 2.35 CTW,6.25 in inner circumference,Diamonds and black enamel,"Vintage, c. 1970s",Very good pre-owned condition; signed and authenticated
bvlgari-serpenti-diamond-coil-ring,Bvlgari Serpenti Diamond Coil Ring,"<p>A signed Bvlgari Serpenti estate ring with coiled 18K gold curves and diamond accents, bringing Roman glamour to a collectible everyday silhouette.</p>",Bvlgari,,Rings,"antique-estate, rings, designer-jewelry, bvlgari, statement",TRUE,Title,Default Title,LM-BVLGARI-SERPENTI-DIAMOND-COIL-RING,,shopify,1,deny,manual,23800.00,TRUE,TRUE,Bvlgari Serpenti Diamond Coil Ring,Authenticated Bvlgari Serpenti diamond estate ring in 18K gold.,active,18K Yellow Gold,13.6 g,Approx. 0.68 CTW,Size 6.5,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
buccellati-diamond-rigato-gold-cuff,Buccellati Diamond Rigato Gold Cuff,"<p>A Buccellati estate cuff with hand-engraved Rigato texture and diamond details, selected for its soft gold finish and heirloom Italian craft.</p>",Buccellati,,Bracelets,"antique-estate, bracelets, designer-jewelry, buccellati, bestseller",TRUE,Title,Default Title,LM-BUCCELLATI-DIAMOND-RIGATO-GOLD-CUFF,,shopify,1,deny,manual,36500.00,TRUE,TRUE,Buccellati Diamond Rigato Gold Cuff,Authenticated Buccellati diamond Rigato gold estate cuff curated by Laura Milman.,active,18K Yellow and White Gold,54.1 g,Approx. 1.10 CTW,6.5 in inner circumference,Round brilliant diamonds,Vintage estate,Excellent pre-owned condition; signed and authenticated
harry-winston-diamond-cluster-stud-earrings,Harry Winston Diamond Cluster Stud Earrings,"<p>Harry Winston estate cluster earrings with crisp white diamonds arranged for maximum light, offering a refined high-jewelry staple.</p>",Harry Winston,,Earrings,"antique-estate, new-arrival, earrings, designer-jewelry, harry-winston, bridal-gifts",TRUE,Title,Default Title,LM-HARRY-WINSTON-DIAMOND-CLUSTER-STUD-EARRINGS,,shopify,1,deny,manual,52000.00,TRUE,TRUE,Harry Winston Diamond Cluster Stud Earrings,Authenticated estate Harry Winston diamond cluster stud earrings.,active,Platinum,8.9 g,Approx. 4.20 CTW,13 mm,Round and pear shape diamonds,Late 20th century,Excellent pre-owned condition; signed and authenticated
graff-sapphire-diamond-three-stone-ring,Graff Sapphire and Diamond Three-Stone Ring,"<p>A Graff estate three-stone ring centering a vivid blue sapphire with diamond sides, chosen for color, proportion, and impeccable finish.</p>",Graff,,Rings,"antique-estate, rings, designer-jewelry, graff, engagement-rings",TRUE,Title,Default Title,LM-GRAFF-SAPPHIRE-DIAMOND-THREE-STONE-RING,,shopify,1,deny,manual,68500.00,TRUE,TRUE,Graff Sapphire and Diamond Three-Stone Ring,Authenticated Graff sapphire and diamond three-stone estate ring.,active,Platinum,6.7 g,Approx. 1.35 CTW,Size 6,Blue sapphire and diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
chopard-happy-diamonds-heart-pendant,Chopard Happy Diamonds Heart Pendant,"<p>A playful Chopard Happy Diamonds estate heart pendant with floating diamonds and polished gold, selected as a refined giftable icon.</p>",Chopard,,Pendants,"antique-estate, pendants, necklaces, designer-jewelry, chopard, bridal-gifts",TRUE,Title,Default Title,LM-CHOPARD-HAPPY-DIAMONDS-HEART-PENDANT,,shopify,1,deny,manual,7200.00,TRUE,TRUE,Chopard Happy Diamonds Heart Pendant,Signed Chopard Happy Diamonds estate heart pendant in 18K gold.,active,18K Yellow Gold,11.8 g,Approx. 0.45 CTW,Pendant 22 mm; chain 16 in,Floating round diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
hermes-diamond-kelly-bracelet,Hermès Diamond Kelly Bracelet,"<p>A signed Hermès Kelly bracelet in 18K rose gold with diamond detail, balancing house codes with refined estate wearability.</p>",Hermès,,Bracelets,"antique-estate, bracelets, designer-jewelry, hermes, bestseller",TRUE,Title,Default Title,LM-HERMES-DIAMOND-KELLY-BRACELET,,shopify,1,deny,manual,19800.00,TRUE,TRUE,Hermès Diamond Kelly Bracelet,Authenticated Hermès diamond Kelly estate bracelet in 18K rose gold.,active,18K Rose Gold,23.5 g,Approx. 0.30 CTW,6.75 in,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
